date,date_start,date_end,date_middle,sample_size,party,total,male,female,age_18_34,age_35_54,age_55,class_abc1,class_c2de,class_f,region_dublin,region_leinster,region_munster,region_connacht_ulster,area_urban,area_rural,const_seats_3,const_seats_4,const_seats_5
2015-12-12,2015-11-30,2015-12-09,2015-12-04,918,Fianna Fáil,0.19,0.18,0.2,0.28,0.11,0.22,0.14,0.22,0.31,0.11,0.15,0.19,0.34,0.14,0.25,0.23,0.16,0.2
2015-12-12,2015-11-30,2015-12-09,2015-12-04,918,Fine Gael,0.31,0.3,0.33,0.25,0.28,0.39,0.34,0.26,0.46,0.28,0.31,0.31,0.37,0.27,0.38,0.27,0.38,0.22
2015-12-12,2015-11-30,2015-12-09,2015-12-04,918,Green Party,0.04,0.04,0.03,0.03,0.04,0.04,0.05,0.03,0,0.07,0.03,0.03,0.01,0.04,0.03,0.01,0.04,0.05
2015-12-12,2015-11-30,2015-12-09,2015-12-04,918,Independent Alliance,0.02,0.03,0.01,0.04,0.02,0.01,0.03,0.02,0,0.04,0.01,0.03,0.01,0.02,0.02,0.02,0.02,0.03
2015-12-12,2015-11-30,2015-12-09,2015-12-04,918,Labour,0.08,0.07,0.09,0.05,0.08,0.1,0.1,0.07,0.04,0.1,0.1,0.09,0,0.11,0.04,0.05,0.08,0.1
2015-12-12,2015-11-30,2015-12-09,2015-12-04,918,Other Independent Candidate,0.11,0.14,0.08,0.05,0.19,0.07,0.12,0.1,0.15,0.07,0.12,0.16,0.1,0.09,0.14,0.14,0.07,0.17
2015-12-12,2015-11-30,2015-12-09,2015-12-04,918,RENUA,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01
2015-12-12,2015-11-30,2015-12-09,2015-12-04,918,Sinn Féin,0.17,0.19,0.15,0.2,0.2,0.12,0.12,0.24,0.02,0.18,0.23,0.11,0.16,0.22,0.11,0.24,0.15,0.16
2015-12-12,2015-11-30,2015-12-09,2015-12-04,918,Social Democrats,0.01,0.02,0,0,0.02,0.01,0.03,0,0,0.03,0.01,0,0,0.01,0.01,0,0.01,0.02
2015-12-12,2015-11-30,2015-12-09,2015-12-04,918,Socialist Party,0,0,0.01,0.01,0,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0,0
2015-12-12,2015-11-30,2015-12-09,2015-12-04,918,Solidarity/PBP,0.04,0.02,0.05,0.07,0.04,0.01,0.03,0.04,0,0.1,0,0.03,0,0.05,0.01,0.01,0.05,0.03
2015-12-12,2015-11-30,2015-12-09,2015-12-04,918,Workers Party,0.01,0,0.02,0.01,0.01,0.01,0.02,0.01,0,0.01,0,0.04,0,0.02,0,0,0.03,0
2016-01-16,2016-01-04,2016-01-13,2016-01-08,916,Fianna Fáil,0.2,0.21,0.2,0.19,0.14,0.28,0.19,0.22,0.17,0.09,0.22,0.26,0.26,0.19,0.22,0.24,0.17,0.22
2016-01-16,2016-01-04,2016-01-13,2016-01-08,916,Fine Gael,0.31,0.3,0.33,0.26,0.32,0.34,0.35,0.26,0.51,0.3,0.3,0.32,0.35,0.3,0.34,0.3,0.38,0.24
2016-01-16,2016-01-04,2016-01-13,2016-01-08,916,Green Party,0.03,0.02,0.03,0.02,0.05,0,0.03,0.03,0,0.04,0.02,0.03,0,0.03,0.02,0.03,0.04,0.01
2016-01-16,2016-01-04,2016-01-13,2016-01-08,916,Independent Alliance,0.03,0.04,0.02,0.03,0.03,0.03,0.04,0.02,0.04,0.03,0.03,0.01,0.05,0.02,0.04,0.03,0.02,0.04
2016-01-16,2016-01-04,2016-01-13,2016-01-08,916,Labour,0.06,0.05,0.07,0.08,0.07,0.04,0.06,0.06,0.09,0.13,0.06,0.03,0.01,0.08,0.02,0.07,0.05,0.07
2016-01-16,2016-01-04,2016-01-13,2016-01-08,916,Other Independent Candidate,0.12,0.1,0.14,0.14,0.14,0.1,0.13,0.13,0.02,0.15,0.09,0.13,0.11,0.13,0.11,0.15,0.11,0.11
2016-01-16,2016-01-04,2016-01-13,2016-01-08,916,RENUA,0.02,0.03,0.01,0.01,0.02,0.04,0.03,0.02,0,0.05,0.02,0.01,0,0.03,0.01,0.02,0.02,0.03
2016-01-16,2016-01-04,2016-01-13,2016-01-08,916,Sinn Féin,0.16,0.17,0.15,0.23,0.16,0.12,0.1,0.22,0.11,0.13,0.22,0.13,0.18,0.16,0.16,0.12,0.15,0.2
2016-01-16,2016-01-04,2016-01-13,2016-01-08,916,Social Democrats,0.01,0.01,0.02,0,0.01,0.03,0.02,0.01,0,0.03,0,0.02,0.01,0.02,0.01,0.02,0.02,0.01
2016-01-16,2016-01-04,2016-01-13,2016-01-08,916,Socialist Party,0.01,0,0.01,0,0.01,0,0.01,0,0.03,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01
2016-01-16,2016-01-04,2016-01-13,2016-01-08,916,Solidarity/PBP,0.03,0.04,0.01,0,0.04,0.03,0.03,0.03,0,0.03,0.03,0.01,0.03,0.02,0.03,0.02,0.03,0.02
2016-01-16,2016-01-04,2016-01-13,2016-01-08,916,Workers Party,0.02,0.02,0.02,0.03,0.02,0.01,0.02,0.02,0.03,0.01,0,0.05,0.01,0.01,0.03,0,0.01,0.04
2016-02-06,2016-02-01,2016-02-02,2016-02-01,1011,Fianna Fáil,0.2,0.21,0.19,0.12,0.22,0.23,0.21,0.18,0.26,0.11,0.23,0.25,0.24,0.15,0.28,0.22,0.2,0.19
2016-02-06,2016-02-01,2016-02-02,2016-02-01,1011,Fine Gael,0.28,0.28,0.27,0.31,0.25,0.28,0.3,0.22,0.53,0.26,0.26,0.26,0.36,0.24,0.34,0.29,0.29,0.25
