date,date_start,date_end,date_middle,sample_size,satisfaction_government,total,male,female,age_18_34,age_35_54,age_55,class_abc1,class_c2de,class_f,region_dublin,region_leinster,region_munster,region_connacht_ulster,area_urban,area_rural,const_seats_3,const_seats_4,const_seats_5,voting_vote,voting_prob_vote,voting_undecided,voting_not_vote,future_fianna_fail,future_fine_gael,future_labour,future_greens,future_sinn_fein,future_ind_oth,future_dont_know,past_fianna_fail,past_fine_gael,past_labour,past_greens,past_sinn_fein,past_ind_oth,past_dont_know
2018-01-16,2018-01-04,2018-01-16,2018-01-10,920,No opinion,335,153,182,148,105,83,151,153,31,80,77,92,87,178,158,44,173,118,229,63,28,56,27,44,7,NA,30,16,211,NA,NA,NA,NA,NA,NA,NA
2018-02-13,2018-02-01,2018-02-13,2018-02-07,926,Satisfied,1599,804,795,404,582,613,780,685,134,478,403,468,250,992,607,428,658,512,1492,172,44,29,301,749,52,17,87,130,263,NA,NA,NA,NA,NA,NA,NA
2018-02-13,2018-02-01,2018-02-13,2018-02-07,926,Dissatisfied,1435,700,735,386,589,460,515,847,73,444,401,316,274,935,500,253,584,599,1266,234,88,68,246,138,51,8,370,250,373,NA,NA,NA,NA,NA,NA,NA
2018-02-13,2018-02-01,2018-02-13,2018-02-07,926,No opinion,317,132,185,150,104,63,132,176,8,49,92,101,75,167,150,99,134,84,223,47,26,54,36,29,3,NA,47,22,180,NA,NA,NA,NA,NA,NA,NA
2018-03-13,2018-03-06,2018-03-13,2018-03-09,900,Satisfied,1631,866,765,400,633,598,702,816,113,503,425,445,259,1029,602,466,520,645,1509,306,73,37,324,723,70,21,142,94,258,NA,NA,NA,NA,NA,NA,NA
2018-03-13,2018-03-06,2018-03-13,2018-03-09,900,Dissatisfied,1357,626,731,343,543,471,532,745,79,371,348,344,294,824,532,316,597,443,1212,224,70,65,303,86,76,13,306,221,352,NA,NA,NA,NA,NA,NA,NA
2018-03-13,2018-03-06,2018-03-13,2018-03-09,900,No opinion,282,114,168,134,95,53,100,166,16,39,101,99,43,194,89,62,155,66,187,46,40,27,32,33,5,NA,41,28,143,NA,NA,NA,NA,NA,NA,NA
2018-04-19,2018-04-05,2018-04-17,2018-04-11,928,Satisfied,1577,887,690,438,568,571,696,736,146,519,412,395,251,956,622,427,651,500,1489,240,59,16,271,664,85,7,142,74,335,NA,NA,NA,NA,NA,NA,NA
2018-04-19,2018-04-05,2018-04-17,2018-04-11,928,Dissatisfied,1479,646,833,354,625,500,549,874,56,343,400,416,320,951,528,247,666,566,1270,240,106,79,268,107,69,7,411,231,387,NA,NA,NA,NA,NA,NA,NA
2018-04-19,2018-04-05,2018-04-17,2018-04-11,928,No opinion,292,104,188,152,84,56,130,141,21,88,68,95,41,182,110,76,115,101,201,49,35,45,38,39,3,9,15,16,172,NA,NA,NA,NA,NA,NA,NA
2018-05-15,2018-05-03,2018-05-15,2018-05-09,935,Satisfied,1362,738,623,366,528,468,601,603,157,424,361,385,192,853,508,298,647,417,1244,205,75,34,233,614,37,22,96,88,270,NA,NA,NA,NA,NA,NA,NA
2018-05-15,2018-05-03,2018-05-15,2018-05-09,935,Dissatisfied,1666,764,902,409,654,603,638,976,52,461,452,429,324,1041,626,374,624,668,1459,227,88,97,269,123,44,14,487,209,519,NA,NA,NA,NA,NA,NA,NA
2018-05-15,2018-05-03,2018-05-15,2018-05-09,935,No opinion,328,146,182,166,122,41,167,153,8,88,65,99,76,214,114,82,153,93,229,26,34,46,27,15,12,9,44,42,180,NA,NA,NA,NA,NA,NA,NA
2018-06-12,2018-05-31,2018-06-12,2018-06-06,931,Satisfied,1559,856,703,403,627,529,728,707,124,489,433,448,189,981,579,394,613,552,1452,234,72,21,250,640,50,14,160,127,319,NA,NA,NA,NA,NA,NA,NA
