date,date_start,date_end,date_middle,sample_size,satisfaction_government,total,male,female,age_18_34,age_35_54,age_55,class_abc1,class_c2de,class_f,region_dublin,region_leinster,region_munster,region_connacht_ulster,area_urban,area_rural,const_seats_3,const_seats_4,const_seats_5,voting_vote,voting_prob_vote,voting_undecided,voting_not_vote,future_fianna_fail,future_fine_gael,future_labour,future_greens,future_sinn_fein,future_ind_oth,future_dont_know,past_fianna_fail,past_fine_gael,past_labour,past_greens,past_sinn_fein,past_ind_oth,past_dont_know
2015-10-18,2015-10-05,2015-10-14,2015-10-09,912,Satisfied,0.33,0.37,0.29,0.28,0.35,0.36,0.37,0.28,0.48,0.35,0.28,0.3,0.41,0.31,0.36,0.38,0.35,0.27,0.34,0.35,0.27,0.18,0.31,0.85,0.64,0.49,0.1,0.16,0.18,NA,NA,NA,NA,NA,NA,NA
2015-10-18,2015-10-05,2015-10-14,2015-10-09,912,Dissatisfied,0.61,0.57,0.64,0.63,0.61,0.6,0.54,0.68,0.49,0.6,0.65,0.63,0.54,0.62,0.59,0.58,0.59,0.67,0.61,0.57,0.67,0.65,0.6,0.15,0.34,0.47,0.86,0.8,0.72,NA,NA,NA,NA,NA,NA,NA
2015-10-18,2015-10-05,2015-10-14,2015-10-09,912,No opinion,0.06,0.05,0.06,0.1,0.04,0.04,0.08,0.04,0.03,0.04,0.07,0.07,0.04,0.06,0.05,0.05,0.06,0.06,0.05,0.09,0.06,0.17,0.1,0.01,0.03,0.04,0.05,0.04,0.1,NA,NA,NA,NA,NA,NA,NA
2015-11-15,2015-10-30,2015-11-11,2015-11-05,927,Satisfied,0.28,0.32,0.24,0.26,0.26,0.33,0.34,0.22,0.34,0.28,0.28,0.28,0.29,0.27,0.29,0.32,0.27,0.26,0.31,0.33,0.22,0.04,0.18,0.72,0.5,0.18,0.11,0.11,0.23,NA,NA,NA,NA,NA,NA,NA
2015-11-15,2015-10-30,2015-11-11,2015-11-05,927,Dissatisfied,0.62,0.59,0.65,0.56,0.65,0.64,0.54,0.68,0.62,0.66,0.61,0.59,0.6,0.64,0.59,0.57,0.64,0.63,0.61,0.59,0.62,0.73,0.78,0.21,0.45,0.64,0.79,0.81,0.59,NA,NA,NA,NA,NA,NA,NA
2015-11-15,2015-10-30,2015-11-11,2015-11-05,927,No opinion,0.1,0.09,0.11,0.18,0.09,0.03,0.12,0.1,0.03,0.06,0.11,0.13,0.11,0.09,0.12,0.11,0.09,0.11,0.08,0.09,0.16,0.23,0.04,0.08,0.05,0.18,0.1,0.08,0.18,NA,NA,NA,NA,NA,NA,NA
2015-12-12,2015-11-30,2015-12-09,2015-12-04,918,Satisfied,0.35,0.38,0.32,0.29,0.32,0.43,0.4,0.28,0.52,0.32,0.35,0.35,0.38,0.29,0.44,0.34,0.37,0.32,0.38,0.16,0.15,0.07,0.32,0.83,0.54,0.41,0.13,0.14,0.22,NA,NA,NA,NA,NA,NA,NA
2015-12-12,2015-11-30,2015-12-09,2015-12-04,918,Dissatisfied,0.56,0.57,0.56,0.58,0.59,0.52,0.52,0.62,0.39,0.58,0.57,0.56,0.53,0.62,0.47,0.56,0.52,0.62,0.54,0.67,0.67,0.76,0.6,0.12,0.38,0.49,0.78,0.79,0.65,NA,NA,NA,NA,NA,NA,NA
2015-12-12,2015-11-30,2015-12-09,2015-12-04,918,No opinion,0.09,0.06,0.12,0.13,0.09,0.05,0.08,0.1,0.09,0.11,0.08,0.09,0.09,0.09,0.1,0.1,0.11,0.06,0.08,0.17,0.18,0.17,0.09,0.05,0.08,0.1,0.09,0.07,0.13,NA,NA,NA,NA,NA,NA,NA
2016-01-16,2016-01-04,2016-01-13,2016-01-08,916,Satisfied,0.33,0.34,0.31,0.29,0.31,0.37,0.42,0.25,0.32,0.38,0.28,0.35,0.27,0.31,0.34,0.32,0.36,0.29,0.36,0.27,0.09,0.11,0.3,0.81,0.55,0.17,0.07,0.12,0.22,NA,NA,NA,NA,NA,NA,NA
2016-01-16,2016-01-04,2016-01-13,2016-01-08,916,Dissatisfied,0.58,0.59,0.58,0.54,0.61,0.59,0.48,0.66,0.62,0.56,0.6,0.56,0.62,0.6,0.55,0.58,0.58,0.58,0.57,0.62,0.61,0.69,0.66,0.15,0.4,0.74,0.85,0.79,0.61,NA,NA,NA,NA,NA,NA,NA
2016-01-16,2016-01-04,2016-01-13,2016-01-08,916,No opinion,0.09,0.07,0.11,0.17,0.08,0.03,0.1,0.09,0.06,0.06,0.12,0.08,0.11,0.08,0.1,0.1,0.06,0.13,0.07,0.12,0.31,0.2,0.04,0.05,0.05,0.09,0.07,0.1,0.17,NA,NA,NA,NA,NA,NA,NA
2016-02-06,2016-02-01,2016-02-02,2016-02-01,1011,Satisfied,0.34,0.38,0.3,0.32,0.31,0.39,0.4,0.27,0.54,0.32,0.35,0.31,0.38,0.32,0.37,0.36,0.35,0.31,0.36,0.3,0.19,0.1,0.27,0.78,0.52,0.49,0.08,0.19,0.21,NA,NA,NA,NA,NA,NA,NA
2016-02-06,2016-02-01,2016-02-02,2016-02-01,1011,Dissatisfied,0.6,0.54,0.65,0.6,0.61,0.57,0.54,0.66,0.42,0.61,0.61,0.59,0.57,0.62,0.56,0.57,0.6,0.62,0.59,0.67,0.62,0.6,0.69,0.15,0.44,0.39,0.88,0.76,0.67,NA,NA,NA,NA,NA,NA,NA
2016-02-06,2016-02-01,2016-02-02,2016-02-01,1011,No opinion,0.07,0.08,0.06,0.07,0.07,0.04,0.06,0.07,0.04,0.07,0.04,0.09,0.05,0.06,0.07,0.07,0.06,0.07,0.05,0.03,0.19,0.3,0.05,0.07,0.04,0.12,0.04,0.05,0.11,NA,NA,NA,NA,NA,NA,NA
2016-02-20,2016-02-15,2016-02-16,2016-02-15,1026,Satisfied,0.33,0.36,0.3,0.24,0.32,0.42,0.4,0.24,0.57,0.39,0.28,0.31,0.33,0.34,0.3,0.29,0.4,0.27,0.34,0.29,0.25,0.08,0.17,0.82,0.48,NA,0.08,0.22,0.13,NA,NA,NA,NA,NA,NA,NA
2016-02-20,2016-02-15,2016-02-16,2016-02-15,1026,Dissatisfied,0.61,0.59,0.63,0.65,0.63,0.54,0.55,0.68,0.41,0.58,0.66,0.61,0.6,0.6,0.62,0.64,0.55,0.65,0.61,0.64,0.57,0.8,0.77,0.16,0.44,NA,0.86,0.75,0.71,NA,NA,NA,NA,NA,NA,NA
2016-02-20,2016-02-15,2016-02-16,2016-02-15,1026,No opinion,0.06,0.06,0.07,0.1,0.04,0.04,0.05,0.08,0.02,0.03,0.06,0.08,0.07,0.05,0.08,0.07,0.05,0.07,0.05,0.08,0.18,0.12,0.07,0.02,0.08,NA,0.06,0.03,0.16,NA,NA,NA,NA,NA,NA,NA
2016-04-16,2016-04-03,2016-04-13,2016-04-08,926,Satisfied,0.22,0.23,0.21,0.23,0.21,0.21,0.26,0.17,0.25,0.21,0.15,0.23,0.3,0.22,0.22,0.21,0.25,0.18,0.23,0.29,0.18,0.09,0.17,0.55,NA,0.38,0.08,0.1,0.14,NA,NA,NA,NA,NA,NA,NA
2016-04-16,2016-04-03,2016-04-13,2016-04-08,926,Dissatisfied,0.72,0.71,0.72,0.69,0.71,0.75,0.66,0.76,0.71,0.74,0.78,0.7,0.62,0.71,0.72,0.73,0.69,0.74,0.72,0.63,0.69,0.79,0.78,0.41,NA,0.59,0.88,0.84,0.7,NA,NA,NA,NA,NA,NA,NA
